Table 1
Table W-1. Homeowner Improvement Expenditures: 1995-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1995,,,1997,,,1999,,,2001,,,2003,,,2005,,,2007,,,2009,,,2011,,,2013,,,2015,,
HVAC,"2,556","3,891","9,948","2,689","3,874","10,416","2,944","3,644","10,729","2,961","3,772","11,169","2,903","3,563","10,341","2,899","4,476","12,978","3,449","4,236","14,608","3,372","4,043","13,632","3,763","4,843","18,225","3,447","5,112","17,620","3,950","5,239","20,691"
Appliances/Major Equipment,"4,893",524,"2,566","4,792",568,"2,721","5,448",613,"3,340","5,984",591,"3,539","5,356",623,"3,334","5,905",714,"4,218","6,780",756,"5,129","6,839",641,"4,385","7,566",736,"5,565","7,144",750,"5,359","8,319",818,"6,808"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTHER*,"6,727","4,675","31,450","6,608","4,984","32,934","6,374","4,781","30,476","8,014","4,952","39,684","6,178","5,739","35,455","6,987","7,046","49,231","6,458","6,663","43,027","6,105","5,502","33,590","5,748","5,799","33,332","5,709","6,588","37,609","7,679","5,132","39,411"
Disaster Repairs,729,"11,200","8,165",636,"10,203","6,484",654,"8,668","5,670",634,"12,413","7,872",460,"13,890","6,385",809,"15,468","12,510",915,"15,375","14,074","1,096","10,003","10,960",962,"13,522","13,003","1,142","14,533","16,595",770,"14,373","11,067"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Improvements to Lot or Yard*†††,"6,213","3,748","23,285","6,151","4,300","26,450","5,876","4,222","24,806","7,567","4,204","31,812","5,826","4,989","29,070","6,380","5,756","36,721","5,754","5,032","28,953","5,250","4,311","22,631","4,965","4,094","20,328","4,780","4,396","21,013","7,143","3,968","28,344"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"18,890","7,171","135,455","18,808","7,748","145,729","19,633","8,014","157,332","20,670","8,731","180,478","19,357","9,159","177,284","20,895","11,451","239,270","21,734","11,596","252,030","21,477","9,002","193,333","21,887","8,787","192,314","21,769","9,234","201,011","21,937","10,080","221,132"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes: Homeowner numbers do not add to total because respondents may report projects in more than one category. Major remodels are defined as professional home improvements of more than $10,000 for kitchen projects and more than $5,000 for bath projects, and D-I-Y improvements of more than $4,000 for kitchen projects and $2,000 for bath projects. Job categories are aggregations of the detailed projects reported in the AHS. Expenditures are adjusted for inflation using CPI-U for All Items. 2013 tabulations use JCHS-adjusted weights and 2015 tabulations use preliminary HUD weights. For more information about the re-weighting methodology, see www.jchs.harvard.edu/research/improving-americas-housing.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Definition of project category changes in 2007 so users are cautioned in making comparisons of project activity before and after this date. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
†Patio and terrace project activity included in Improvements to Lot or Yard before 2007.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
††Project activity included in Improvements to Lot or Yard before 2007.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"†††2015 data include improvements to landscaping or sprinkler systems, which were formerly out of scope of the survey. Landscaping projects were reported by 13.9% of all homeowners reporting one or more improvement projects in 2015 and expenditures amounted to 2.8% of national improvement spending. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: JCHS tabulations of the Department of Housing and Urban Development (HUD), 1995-2015 American Housing Surveys.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
