"Date","RegionID","RegionName","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-09-30,11,"Connecticut",29,244800,0.00122699386503067,0.00410172272354389,0.0124069478908189,0.0212215355854419,0.00102701930508431,"2006-06","2006-Q2",290100,-0.156153050672182,"2004-06"
2019-09-30,19,"Iowa",30,146500,0.00342465753424658,0.0145429362880886,0.0441910192444761,0.0428077180296473,0.0280455477293442,"2019-09","2019-Q3",146500,0,"2019-09"
2019-09-30,34,"Mississippi",31,130200,0.00618238021638331,0.0195771339075959,0.054251012145749,0.058466169428373,0.0185872900988977,"2019-09","2019-Q3",130200,0,"2019-09"
2019-09-30,6,"Arkansas",32,129500,0.00465477114041893,0.0164835164835165,0.0562805872756933,0.0518028845882628,0.0278446199579367,"2019-09","2019-Q3",129500,0,"2019-09"
2019-09-30,23,"Kansas",33,141500,0.00283486888731396,0.00783475783475784,0.0320933625091174,0.0463800912606376,0.0206873051773158,"2019-09","2019-Q3",141500,0,"2019-09"
2019-09-30,55,"Utah",34,351100,0.0141536683997689,0.024810274372446,0.0910503418272219,0.0925890826498648,0.0466707349682187,"2019-09","2019-Q3",351100,0,"2019-09"
2019-09-30,42,"Nevada",35,291800,-0.00136892539356605,-0.00579216354344123,0.0267417311752287,0.0914425425307808,0.0625975648977737,"2006-06","2006-Q2",319200,-0.0858395989974937,"2005-03"
2019-09-30,41,"New Mexico",36,197400,0.00203045685279188,0.0102354145342886,0.0367647058823529,0.0482008559227762,0.011886393024175,"2019-09","2019-Q3",197400,0,"2019-09"
2019-09-30,61,"West Virginia",37,99000,0.00405679513184584,0.014344262295082,0.0280373831775701,0.0338992854913944,0.0207749768787555,"2019-09","2019-Q3",99000,0,"2019-09"
2019-09-30,38,"Nebraska",38,169900,0.00532544378698225,0.0179748352306771,0.0605493133583021,0.0614405098785908,0.0369494610903212,"2019-09","2019-Q3",169900,0,"2019-09"
2019-09-30,20,"Idaho",39,274200,0.00883002207505519,0.0219903093551994,0.130255564715581,0.100850440424895,0.0501467041747006,"2019-09","2019-Q3",274200,0,"2019-09"
2019-09-30,18,"Hawaii",40,619000,0.0014560750687591,0.00210458151206087,0.00113213650331554,0.0472517611350971,0.0383419297150889,"2019-03","2019-Q1",623400,-0.00705806865575874,"2018-11"
2019-09-30,28,"Maine",41,237800,0.00379907133811735,0.0158052114480991,0.0452747252747253,0.0535551544244925,0.0334055960662527,"2019-09","2019-Q3",237800,0,"2019-09"
2019-09-30,39,"New Hampshire",42,280400,0.00178635226866738,0.00573888091822095,0.0377498149518875,0.0555355073232453,0.0276810760862778,"2019-09","2019-Q3",280400,0,"2019-09"
2019-09-30,50,"Rhode Island",43,284200,0.000704225352112676,0.00388555280819498,0.0285921100253348,0.0535035217586144,0.023951720353663,"2005-10","2005-Q4",297000,-0.0430976430976431,"2005-01"
2019-09-30,35,"Montana",44,242100,0.00832986255726781,0.0267175572519084,0.0609114811568799,0.0474630506853091,0.0292285294061436,"2019-09","2019-Q3",242100,0,"2019-09"
2019-09-30,13,"Delaware",45,236300,-0.00168990283058724,-0.00630782169890664,0.00510421097405359,0.0364189767302812,0.00883617425291683,"2018-01","2018-Q1",241300,-0.0207210940737671,"2017-12"
2019-09-30,52,"South Dakota",46,194700,0.00360824742268041,0.0151199165797706,0.0656814449917898,0.0539714096589679,0.0331632808494013,"2019-09","2019-Q3",194700,0,"2019-09"
2019-09-30,3,"Alaska",47,326000,0.0171606864274571,0.0332805071315372,0.0536522301228184,0.0241742046501559,0.0167521966275701,"2019-09","2019-Q3",326000,0,"2019-09"
2019-09-30,37,"North Dakota",48,210000,0.00574712643678161,0.0149830836152731,0.0309278350515464,0.0358383543491638,0.044864714287278,"2019-09","2019-Q3",210000,0,"2019-09"
2019-09-30,58,"Vermont",49,210600,0.0062111801242236,0.0273170731707317,0.0561685055165496,0.0287182276773634,0.0161635036596599,"2019-09","2019-Q3",210600,0,"2019-09"
2019-09-30,12,"District of Columbia",50,567800,0.003003003003003,0.0037122149549231,-0.00872905027932961,0.0486299555937952,0.0486480825100839,"2019-02","2019-Q1",582800,-0.0257378174330817,"2018-07"
2019-09-30,62,"Wyoming",51,236100,0.0141752577319588,0.0419240953221536,0.0688094160253508,0.0415687487954364,0.0267054572517622,"2019-09","2019-Q3",236100,0,"2019-09"
